degradation,severity,image_index,true_label,predicted_label,confidence
blur,0,79,8,8,0.9999918
blur,0,80,8,8,0.9999999
blur,0,81,1,1,0.9457736
blur,0,82,1,1,0.9999894
blur,0,83,7,7,0.99999976
blur,0,84,2,2,0.964186
blur,0,85,5,5,0.99978775
blur,0,86,2,2,0.9972373
blur,0,87,7,3,0.7217679
blur,0,88,8,8,0.9999957
blur,0,89,9,9,0.99999595
blur,0,90,0,0,0.9999846
blur,0,91,3,3,0.99999404
blur,0,92,8,8,0.9999964
blur,0,93,6,6,0.9999999
blur,0,94,4,4,0.99995756
blur,0,95,6,6,0.59336185
blur,0,96,6,6,0.99516416
blur,0,97,0,0,0.9303009
blur,0,98,0,0,0.99992824
blur,0,99,7,7,1.0
blur,0,100,4,4,0.99998987
blur,0,101,5,5,0.8819271
blur,0,102,6,6,0.99999857
blur,0,103,3,3,0.9999994
blur,0,104,1,1,0.99997544
blur,0,105,1,1,0.99993896
blur,0,106,3,3,0.99912375
blur,0,107,6,6,1.0
blur,0,108,8,8,0.99964476
blur,0,109,7,7,0.9999995
blur,0,110,4,4,0.99979454
blur,0,111,0,0,0.9976699
blur,0,112,6,6,0.999845
blur,0,113,2,2,0.9999397
blur,0,114,1,1,0.9995895
blur,0,115,3,3,0.9997328
blur,0,116,0,0,0.9999945
blur,0,117,4,4,0.99994886
blur,0,118,2,6,0.99935454
blur,0,119,7,7,0.9949373
blur,0,120,8,8,0.9999969
blur,0,121,3,3,0.992434
blur,0,122,1,1,0.9993876
blur,0,123,2,2,0.99999976
blur,0,124,8,8,0.99996984
blur,0,125,0,2,0.71065724
blur,0,126,8,8,1.0
blur,0,127,3,3,0.9995845
blur,0,128,5,3,0.9454855
blur,0,129,2,2,0.99990857
blur,0,130,4,4,0.9999863
blur,0,131,1,1,0.9999906
blur,0,132,8,8,0.999998
blur,0,133,9,9,0.9999808
blur,0,134,1,1,0.9990293
blur,0,135,2,2,1.0
blur,0,136,9,9,0.99999976
blur,0,137,7,7,0.98843527
blur,0,138,2,2,0.9999784
blur,0,139,9,9,0.8970176
blur,0,140,6,6,0.9998276
blur,0,141,5,5,0.998415
blur,0,142,6,6,0.99999917
blur,0,143,3,3,0.845401
blur,0,144,8,8,0.9999931
blur,0,145,7,7,0.9880117
blur,0,146,6,6,0.9999989
blur,0,147,2,6,0.5662242
blur,0,148,5,5,0.98978454
blur,0,149,2,2,0.9999932
blur,0,150,8,8,0.99942964
blur,0,151,9,9,0.9603043
blur,0,152,6,6,0.99997723
blur,0,153,0,0,0.9999902
blur,0,154,0,0,0.999995
blur,0,155,5,5,0.99999654
blur,0,156,2,2,0.99984574
blur,0,157,9,9,0.99886525
blur,0,158,5,5,0.6169516
blur,0,159,4,4,0.99999833
blur,0,160,2,2,0.9949752
blur,0,161,1,1,0.9961815
blur,0,162,6,6,0.9920065
blur,0,163,6,6,0.9993062
blur,0,164,8,8,0.60369945
blur,0,165,4,4,0.8933023
blur,0,166,8,8,0.99993706
blur,0,167,4,4,0.9999999
blur,0,168,5,5,0.9999987
blur,0,169,0,8,0.9487991
blur,0,170,9,9,0.9999746
blur,0,171,9,0,0.43734735
blur,0,172,9,9,0.9999999
blur,0,173,8,8,0.9994796
blur,0,174,9,9,0.9991757
blur,0,175,9,9,0.9999993
blur,0,176,3,3,0.993628
blur,0,177,7,7,0.9999999
blur,0,178,5,3,0.471638
blur,0,179,0,0,0.99999726
blur,0,180,0,0,0.99078953
blur,0,181,5,5,0.99999404
blur,0,182,2,2,0.99999917
blur,0,183,2,3,0.42683318
blur,0,184,3,3,0.99981385
blur,0,185,8,8,0.9999999
blur,0,186,6,6,1.0
blur,0,187,3,3,0.9999999
blur,0,188,4,2,0.7365845
blur,0,189,0,0,0.9933415
blur,0,190,5,5,0.999956
blur,0,191,8,8,0.9998691
blur,0,192,0,0,0.58531237
blur,0,193,1,1,0.99814475
blur,0,194,7,7,0.99999976
blur,0,195,2,2,0.88565856
blur,0,196,8,8,0.99999416
blur,0,197,8,8,0.99999595
blur,0,198,7,7,0.99982846
blur,0,199,8,8,0.9999999
blur,0,200,5,5,0.9999058
blur,0,201,1,1,0.9002844
blur,0,202,8,8,0.9999976
blur,0,203,7,7,0.9313165
blur,0,204,1,1,0.9999999
blur,0,205,3,3,0.99999905
blur,0,206,0,0,0.9970488
blur,0,207,5,5,0.9999994
blur,0,208,7,7,0.99999964
blur,0,209,9,9,0.99876726
blur,0,210,7,7,0.99998736
blur,0,211,4,4,0.99646854
blur,0,212,5,5,0.9999988
blur,0,213,9,8,0.99881965
blur,0,214,8,8,0.9856959
blur,0,215,0,0,0.9992824
blur,0,216,7,7,0.9999968
blur,0,217,9,9,0.9662444
blur,0,218,8,8,0.99913055
blur,0,219,2,2,0.9999995
blur,0,220,7,7,0.99929047
blur,0,221,6,6,0.894327
blur,0,222,9,9,0.9998084
blur,0,223,4,4,0.9705291
blur,0,224,3,3,0.98937446
blur,0,225,9,9,0.9999511
blur,0,226,6,3,0.69279927
blur,0,227,4,4,1.0
blur,0,228,7,5,0.9351059
blur,0,229,6,6,0.8815454
blur,0,230,5,5,1.0
blur,0,231,1,1,0.99999666
blur,0,232,5,3,0.8971375
blur,0,233,8,8,0.99996793
blur,0,234,8,8,0.9999999
blur,0,235,0,0,0.9999287
blur,0,236,4,4,1.0
blur,0,237,0,0,0.99961346
blur,0,238,5,5,0.99999547
blur,0,239,5,5,1.0
blur,0,240,1,1,0.9999987
blur,0,241,1,1,0.9997664
blur,0,242,8,8,0.9307932
blur,0,243,9,9,0.99998844
blur,0,244,0,0,1.0
blur,0,245,3,3,0.99082327
blur,0,246,1,1,0.99995625
blur,0,247,9,9,0.9228156
blur,0,248,2,2,0.9999635
blur,0,249,2,2,0.9840104
blur,0,250,5,5,0.9999778
blur,0,251,3,3,0.99998784
blur,0,252,9,9,0.99999774
blur,0,253,9,9,0.9999815
blur,0,254,4,4,0.9983972
blur,0,255,0,0,0.9995975
blur,0,256,3,3,0.9999987
blur,0,257,0,0,0.99999964
blur,0,258,0,0,0.91770726
blur,0,259,9,9,0.999899
blur,0,260,8,8,1.0
blur,0,261,1,1,0.99797887
blur,0,262,5,5,0.99999666
blur,0,263,7,7,0.9996152
blur,0,264,0,0,0.90887773
blur,0,265,8,8,0.9999895
blur,0,266,2,2,0.9733762
blur,0,267,4,4,0.9999076
blur,0,268,7,7,0.9999995
blur,0,269,0,3,0.8246746
blur,0,270,2,2,1.0
blur,0,271,3,5,0.86401427
blur,0,272,6,6,1.0
blur,0,273,3,3,0.9999348
blur,0,274,8,8,0.9999901
blur,0,275,5,3,0.51127857
blur,0,276,0,0,0.9999919
blur,0,277,3,5,0.9965856
blur,0,278,4,4,0.9994722
blur,0,279,3,3,0.9929958
blur,0,280,9,9,0.99973184
blur,0,281,0,0,0.903855
blur,0,282,6,6,0.99959725
blur,0,283,1,1,0.99998224
blur,0,284,0,0,0.9421845
blur,0,285,9,9,0.9999833
blur,0,286,1,1,0.96707404
blur,0,287,0,8,0.88511
blur,0,288,7,7,0.9948297
blur,0,289,9,9,0.99997354
blur,0,290,1,1,0.9999994
blur,0,291,2,2,1.0
blur,0,292,6,6,0.9999933
blur,0,293,9,9,0.5165015
blur,0,294,3,3,0.99992454
blur,0,295,4,4,0.98927164
blur,0,296,6,6,1.0
blur,0,297,0,0,0.9999721
blur,0,298,0,0,0.99994147
blur,0,299,6,6,0.99998677
blur,0,300,6,6,0.9999999
blur,0,301,6,6,1.0
blur,0,302,3,3,0.9674827
blur,0,303,2,2,0.99976355
blur,0,304,6,6,0.9968555
blur,0,305,1,1,0.9832343
blur,0,306,8,8,0.999481
blur,0,307,2,2,0.9999939
blur,0,308,1,1,0.9962859
blur,0,309,6,6,0.97361416
blur,0,310,8,8,0.9156319
blur,0,311,6,6,0.99950266
blur,0,312,8,0,0.5129991
blur,0,313,0,2,0.5674153
blur,0,314,4,4,0.9999131
blur,0,315,0,0,0.9997639
blur,0,316,7,7,0.9730294
blur,0,317,7,7,0.99967504
blur,0,318,5,5,1.0
blur,0,319,5,5,1.0
blur,0,320,3,3,1.0
blur,0,321,5,5,0.99999976
blur,0,322,2,2,0.9999962
blur,0,323,3,3,0.83118653
blur,0,324,4,5,0.8792261
blur,0,325,1,1,0.9998815
blur,0,326,7,7,0.99999344
blur,0,327,5,5,0.9999987
blur,0,328,4,4,0.9994836
blur,0,329,6,6,0.99999964
blur,0,330,1,1,0.9999838
blur,0,331,9,9,0.9994392
blur,0,332,3,2,0.9947325
blur,0,333,6,6,1.0
blur,0,334,6,6,0.99999976
blur,0,335,9,9,0.99970907
blur,0,336,3,3,0.99998677
blur,0,337,8,8,0.9999962
blur,0,338,0,0,0.9996152
blur,0,339,7,7,0.9982493
blur,0,340,2,2,0.928463
blur,0,341,6,6,0.950432
blur,0,342,2,2,0.91674876
blur,0,343,5,5,0.9933188
blur,0,344,8,8,0.9999862
blur,0,345,5,5,0.9040667
blur,0,346,4,4,0.8706216
blur,0,347,6,6,0.9999621
blur,0,348,8,8,0.99999523
blur,0,349,9,9,0.99999547
blur,0,350,9,9,0.9999888
blur,0,351,1,1,0.99999845
blur,0,352,0,0,0.5816203
blur,0,353,2,2,0.9999949
blur,0,354,2,2,0.999998
blur,0,355,7,4,0.9373493
blur,0,356,3,3,0.9943711
blur,0,357,2,2,0.9993224
blur,0,358,8,8,0.9999981
blur,0,359,0,0,0.99999535
blur,0,360,9,9,0.9999975
blur,0,361,5,5,0.9991241
blur,0,362,8,8,0.99999356
blur,0,363,1,1,0.9996371
blur,0,364,9,9,0.99999654
blur,0,365,4,4,0.99979264
blur,0,366,1,1,0.99972993
blur,0,367,3,3,0.9998846
blur,0,368,8,8,0.9744879
blur,0,369,1,1,0.99798715
blur,0,370,4,4,0.71905124
blur,0,371,7,7,0.99999464
blur,0,372,9,9,0.99982125
blur,0,373,4,4,0.943767
blur,0,374,2,2,0.99999714
blur,0,375,7,7,0.99993944
blur,0,376,0,0,0.98634756
blur,0,377,7,7,0.9997955
blur,0,378,0,8,0.99964607
blur,0,379,6,6,0.9999999
blur,0,380,6,6,0.99994147
blur,0,381,9,9,0.9995571
blur,0,382,0,0,0.99996424
blur,0,383,9,9,0.9696275
blur,0,384,2,2,0.56988025
blur,0,385,8,0,0.5587586
blur,0,386,7,7,0.99998844
blur,0,387,2,5,0.56039613
blur,0,388,2,2,0.99960095
blur,0,389,5,5,0.9999951
blur,0,390,1,1,0.9999912
blur,0,391,2,2,0.99999833
blur,0,392,6,6,0.99999964
blur,0,393,2,2,0.9992112
blur,0,394,9,9,0.91455233
blur,0,395,6,6,0.99998355
blur,0,396,2,2,0.99783033
blur,0,397,3,3,0.9998553
blur,0,398,0,0,0.9861255
blur,0,399,3,3,0.99998665
blur,0,400,9,9,0.9999999
blur,0,401,8,8,0.999997
blur,0,402,7,7,0.9999943
blur,0,403,8,8,0.9997774
blur,0,404,8,8,0.99997425
blur,0,405,4,6,0.48712686
blur,0,406,0,0,0.9999926
blur,0,407,1,1,0.9995807
blur,0,408,8,8,0.99999964
blur,0,409,2,2,0.99999166
blur,0,410,7,7,0.9999449
blur,0,411,9,9,0.99892944
blur,0,412,3,5,0.5850745
blur,0,413,6,6,0.95216197
blur,0,414,1,1,0.9998368
blur,0,415,9,9,0.9999993
blur,0,416,0,0,0.99979705
blur,0,417,7,7,0.9881693
blur,0,418,3,3,0.94714814
blur,0,419,7,7,1.0
blur,0,420,4,4,0.9999807
blur,0,421,5,5,0.9995246
blur,0,422,0,0,0.9355411
blur,0,423,0,0,0.99999106
blur,0,424,2,2,0.9999999
blur,0,425,9,9,0.9997645
blur,0,426,3,6,0.6940027
blur,0,427,4,4,0.99998975
blur,0,428,0,0,0.9974771
blur,0,429,6,6,0.99999547
blur,0,430,2,2,0.99657565
blur,0,431,5,5,0.999987
blur,0,432,3,3,0.99704427
blur,0,433,7,7,0.8492815
blur,0,434,3,3,0.99999106
blur,0,435,7,7,0.9999989
blur,0,436,2,2,0.9999976
blur,0,437,5,5,0.9998293
blur,0,438,3,3,0.9999989
blur,0,439,1,9,0.9928966
blur,0,440,1,1,0.99999404
blur,0,441,4,4,0.9999912
blur,0,442,9,9,0.99999964
blur,0,443,9,9,0.99655604
blur,0,444,5,5,0.999622
blur,0,445,7,7,0.99994445
blur,0,446,5,5,0.99999964
blur,0,447,0,0,0.61999243
blur,0,448,2,2,1.0
blur,0,449,2,2,0.9600963
blur,0,450,2,2,0.9999995
blur,0,451,9,9,0.99993813
blur,0,452,7,7,0.99930036
blur,0,453,3,3,0.9997948
blur,0,454,9,9,0.99992347
blur,0,455,4,4,0.9999914
blur,0,456,3,4,0.9876872
blur,0,457,5,5,0.9991972
blur,0,458,4,4,0.9995241
blur,0,459,6,6,0.9993994
blur,0,460,5,5,0.9999753
blur,0,461,6,6,0.9999957
blur,0,462,1,1,0.9997998
blur,0,463,4,4,0.99987245
blur,0,464,3,3,0.9974112
blur,0,465,4,4,0.99999857
blur,0,466,4,4,0.99999976
blur,0,467,3,3,0.9999995
blur,0,468,7,7,0.9604144
blur,0,469,8,8,0.99999595
blur,0,470,3,3,0.67992175
blur,0,471,7,7,0.99998105
blur,0,472,8,8,0.99998164
blur,0,473,0,0,0.9998406
blur,0,474,5,5,0.99965143
blur,0,475,7,7,0.9999422
blur,0,476,6,6,0.99980336
blur,0,477,0,0,0.99998724
blur,0,478,5,3,0.92213744
blur,0,479,4,4,0.9999999
blur,0,480,8,8,0.999723
blur,0,481,6,6,0.99999106
blur,0,482,8,8,0.99999905
blur,0,483,5,3,0.57954246
blur,0,484,5,5,0.9999734
blur,0,485,9,9,0.918609
blur,0,486,9,9,0.9999987
blur,0,487,9,9,0.99999905
blur,0,488,5,5,0.9980696
blur,0,489,0,0,0.9775308
blur,0,490,1,1,0.99995923
blur,0,491,0,0,0.45936447
blur,0,492,8,8,0.99951935
blur,0,493,1,1,0.9999924
blur,0,494,1,1,0.9999876
blur,0,495,8,8,0.99997175
blur,0,496,0,0,0.9967109
blur,0,497,2,2,0.9064687
blur,0,498,2,2,1.0
blur,0,499,0,0,0.9987986
blur,0,500,4,4,0.9995517
blur,0,501,6,6,0.995436
blur,0,502,5,5,0.999998
blur,0,503,4,4,0.98938984
blur,0,504,9,9,0.99999917
blur,0,505,4,4,0.99995196
blur,0,506,7,7,1.0
blur,0,507,9,9,0.99999976
blur,0,508,9,0,0.5581084
blur,0,509,4,4,0.9999989
blur,0,510,5,5,1.0
blur,0,511,6,6,0.99999416
blur,0,512,6,6,0.999997
blur,0,513,1,1,0.99160016
blur,0,514,5,5,0.9999956
blur,0,515,3,3,0.9999988
blur,0,516,8,8,0.99999917
blur,0,517,9,9,0.9998752
blur,0,518,5,5,0.9997931
blur,0,519,8,8,0.870557
blur,0,520,5,5,0.9972066
blur,0,521,7,7,0.9999999
blur,0,522,0,0,0.9999995
blur,0,523,7,7,0.9999312
blur,0,524,0,0,0.999987
blur,0,525,5,5,0.96276575
blur,0,526,0,0,0.99989474
blur,0,527,0,0,0.99932003
blur,0,528,4,4,0.99997973
blur,0,529,6,6,1.0
blur,0,530,9,9,0.9999999
blur,0,531,0,3,0.96497226
blur,0,532,9,9,0.99945647
blur,0,533,5,5,0.9999995
blur,0,534,6,6,0.9990085
blur,0,535,6,6,0.99952936
blur,0,536,6,6,0.99999976
blur,0,537,2,6,0.8638964
blur,0,538,9,9,0.98839617
blur,0,539,0,0,0.9999949
blur,0,540,1,1,0.9998692
blur,0,541,7,7,0.85824555
blur,0,542,6,6,0.9985453
blur,0,543,7,7,1.0
blur,0,544,5,5,0.99999344
blur,0,545,9,9,0.9999931
blur,0,546,1,1,0.9999689
blur,0,547,6,6,0.99999774
blur,0,548,2,2,0.99997675
blur,0,549,5,5,0.8673646
blur,0,550,5,5,0.9998369
blur,0,551,5,5,0.99628747
blur,0,552,8,8,0.9999964
blur,0,553,5,5,0.99997807
blur,0,554,9,9,1.0
blur,0,555,4,4,0.99995565
blur,0,556,6,6,0.9999558
blur,0,557,4,4,1.0
blur,0,558,3,3,0.99801683
blur,0,559,2,2,1.0
blur,0,560,0,0,0.99920505
blur,0,561,7,7,0.9998159
blur,0,562,6,3,0.57814085
blur,0,563,2,2,0.9962465
blur,0,564,2,2,1.0
blur,0,565,3,3,0.99719846
blur,0,566,9,9,0.99999976
blur,0,567,7,7,0.82807404
blur,0,568,9,9,0.9987784
blur,0,569,2,2,0.9999944
blur,0,570,6,6,0.99982435
blur,0,571,7,7,0.9999995
blur,0,572,1,1,0.9566711
blur,0,573,3,3,0.99998474
blur,0,574,6,6,0.9997279
blur,0,575,6,6,0.9999913
blur,0,576,8,8,0.99999833
blur,0,577,9,9,0.66149896
blur,0,578,7,7,0.98997515
blur,0,579,5,5,0.9994037
blur,0,580,4,4,0.99999845
blur,0,581,0,0,0.999985
blur,0,582,8,8,0.9999634
blur,0,583,4,4,0.99992514
blur,0,584,0,0,0.9999988
blur,0,585,9,9,0.9999516
blur,0,586,3,3,0.999788
blur,0,587,4,4,0.99992
blur,0,588,8,8,0.9999995
blur,0,589,9,9,0.99999154
blur,0,590,6,6,1.0
blur,0,591,9,9,0.99999106
blur,0,592,2,2,0.9999275
blur,0,593,6,6,0.9999907
blur,0,594,1,1,0.99999905
blur,0,595,4,4,0.9999987
blur,0,596,7,7,0.9999815
blur,0,597,3,3,0.3514137
blur,0,598,5,5,0.5708322
blur,0,599,3,3,0.999933
blur,0,600,8,8,0.99995816
blur,0,601,5,5,0.9988236
blur,0,602,0,0,1.0
blur,0,603,2,2,1.0
blur,0,604,1,1,0.9999989
blur,0,605,6,6,0.9999964
blur,0,606,4,3,0.9840226
blur,0,607,3,3,0.49169183
blur,0,608,3,3,0.9999893
blur,0,609,9,9,0.99997926
blur,0,610,6,6,1.0
blur,0,611,9,9,0.99884206
blur,0,612,8,8,0.99999344
blur,0,613,8,8,1.0
blur,0,614,5,5,0.9999999
blur,0,615,8,8,0.9999578
blur,0,616,6,6,0.99998343
blur,0,617,6,6,0.99999905
blur,0,618,2,6,0.3809462
blur,0,619,1,1,0.99994123
blur,0,620,7,7,0.99999356
blur,0,621,7,7,0.99998224
blur,0,622,1,1,0.99999976
blur,0,623,2,2,0.99510986
blur,0,624,7,7,0.99984837
blur,0,625,9,9,0.9985184
blur,0,626,9,9,0.99999607
blur,0,627,4,4,0.9985844
blur,0,628,4,4,0.99999905
blur,0,629,1,1,0.9999658
blur,0,630,2,2,0.999998
blur,0,631,5,5,0.99911565
blur,0,632,6,6,0.9996414
blur,0,633,8,8,0.9998375
blur,0,634,7,7,0.9998629
blur,0,635,6,6,0.9973774
blur,0,636,8,8,0.9995745
blur,0,637,3,3,0.9994617
blur,0,638,0,0,0.9996532
blur,0,639,5,5,0.960297
blur,0,640,5,5,0.87391865
blur,0,641,3,3,0.87876934
blur,0,642,0,0,0.9970074
blur,0,643,7,7,0.9999964
blur,0,644,9,9,0.9999989
blur,0,645,1,1,0.9997539
blur,0,646,3,3,0.8786639
blur,0,647,4,4,0.9991565
blur,0,648,4,4,0.9998603
blur,0,649,5,5,0.99989784
blur,0,650,3,3,1.0
blur,0,651,9,9,0.99456644
blur,0,652,5,5,0.9993401
blur,0,653,6,6,1.0
blur,0,654,9,9,0.9994986
blur,0,655,2,2,0.9642459
blur,0,656,1,1,0.99999595
blur,0,657,1,1,0.5634681
blur,0,658,4,4,0.99818677
blur,0,659,1,1,0.9999951
blur,0,660,9,9,0.9999964
blur,0,661,4,4,0.99437165
blur,0,662,7,7,0.99998915
blur,0,663,6,6,0.9819349
blur,0,664,3,3,0.99998355
blur,0,665,8,0,0.9999702
blur,0,666,9,9,0.99999714
blur,0,667,0,0,0.99977666
blur,0,668,1,1,0.99992454
blur,0,669,3,3,0.99999964
blur,0,670,6,6,0.99999976
blur,0,671,3,5,0.6916404
blur,0,672,6,6,0.51581407
blur,0,673,3,3,0.9998754
blur,0,674,2,2,0.99026906
blur,0,675,0,0,0.7685666
blur,0,676,3,3,0.9999956
blur,0,677,1,1,0.9967296
blur,0,678,0,0,0.9960206
blur,0,679,5,5,0.9993325
blur,0,680,9,1,0.9433635
blur,0,681,6,6,0.9999999
blur,0,682,4,4,0.99938095
blur,0,683,8,0,0.9341166
blur,0,684,9,9,0.99983704
blur,0,685,6,4,0.89295703
blur,0,686,9,9,0.999819
blur,0,687,6,6,0.9735434
blur,0,688,3,3,0.9998018
blur,0,689,0,6,0.85727745
blur,0,690,3,3,0.99635625
blur,0,691,2,2,0.9998411
blur,0,692,2,2,0.9101131
blur,0,693,7,7,0.99999547
blur,0,694,8,8,0.999998
blur,0,695,3,3,0.9999949
blur,0,696,8,8,0.9997633
blur,0,697,2,2,0.99343455
blur,0,698,7,7,0.9996111
blur,0,699,5,5,0.9998078
blur,0,700,7,7,0.9999994
blur,0,701,2,2,0.99999225
blur,0,702,4,4,1.0
blur,0,703,8,8,1.0
blur,0,704,7,7,0.99589753
blur,0,705,4,4,0.9999939
blur,0,706,2,2,0.9999713
blur,0,707,9,9,0.9999993
blur,0,708,8,8,0.99959666
blur,0,709,8,8,0.99999976
blur,0,710,6,6,0.73871344
blur,0,711,8,8,0.99960786
blur,0,712,8,8,0.99999976
blur,0,713,7,7,0.99999917
blur,0,714,4,4,0.9997459
blur,0,715,3,5,0.9775834
blur,0,716,3,3,0.99999833
blur,0,717,8,8,0.9995167
blur,0,718,4,4,0.9999738
blur,0,719,9,9,0.9999995
blur,0,720,4,4,0.99849665
blur,0,721,8,8,0.9999678
blur,0,722,8,8,0.99999976
blur,0,723,1,1,0.99999976
blur,0,724,8,8,0.9972627
blur,0,725,2,0,0.6176215
blur,0,726,1,1,0.9999988
blur,0,727,3,2,0.9998079
blur,0,728,6,6,0.9923064
blur,0,729,5,5,0.9999943
blur,0,730,4,4,0.99307525
blur,0,731,2,2,0.5136605
blur,0,732,7,7,0.99999917
blur,0,733,9,9,0.998078
blur,0,734,9,1,0.85997784
blur,0,735,4,4,0.8740329
blur,0,736,1,1,0.99994576
blur,0,737,4,4,0.9999999
blur,0,738,1,1,0.9999957
blur,0,739,3,5,0.99929893
blur,0,740,2,2,0.9991334
blur,0,741,7,7,0.9999949
blur,0,742,0,0,0.9999995
blur,0,743,7,7,0.999995
blur,0,744,9,9,0.9169572
blur,0,745,7,7,0.998922
blur,0,746,6,6,0.97003025
blur,0,747,6,6,0.99998283
blur,0,748,2,2,0.9999995
blur,0,749,5,5,0.9999232
blur,0,750,9,9,0.9997209
blur,0,751,2,2,0.9935819
blur,0,752,9,9,0.9999651
blur,0,753,1,1,0.9999863
blur,0,754,2,2,0.9999912
blur,0,755,2,2,0.9999863
blur,0,756,6,6,0.9999814
blur,0,757,8,8,0.9999901
blur,0,758,2,2,0.99997854
blur,0,759,1,1,0.9999758
blur,0,760,3,3,0.7828247
blur,0,761,6,6,0.9922586
blur,0,762,6,6,1.0
blur,0,763,0,0,0.9999844
blur,0,764,1,1,0.99998236
blur,0,765,2,2,0.99999917
blur,0,766,7,7,0.9955388
blur,0,767,0,0,0.9999647
blur,0,768,5,5,0.6015606
blur,0,769,4,4,1.0
blur,0,770,6,3,0.9193268
blur,0,771,1,1,0.7839784
blur,0,772,6,6,0.9999455
blur,0,773,4,4,0.99995995
blur,0,774,0,0,0.99995494
blur,0,775,2,4,0.9466211
blur,0,776,2,5,0.99628925
blur,0,777,6,6,0.99999666
blur,0,778,0,0,0.9994041
blur,0,779,5,5,0.99919087
blur,0,780,9,9,0.99999964
blur,0,781,1,1,1.0
blur,0,782,7,7,1.0
blur,0,783,6,6,0.9999316
blur,0,784,7,7,0.99721825
blur,0,785,0,0,0.99998236
blur,0,786,3,3,0.9992643
blur,0,787,9,9,0.99139714
blur,0,788,6,6,0.7738908
blur,0,789,8,8,0.99996424
blur,0,790,3,3,0.99970657
blur,0,791,0,0,1.0
blur,0,792,3,3,0.87064177
blur,0,793,4,5,0.9905731
blur,0,794,7,7,0.9976488
blur,0,795,7,7,0.99803716
blur,0,796,1,1,0.9559333
blur,0,797,4,4,0.99999726
blur,0,798,7,7,0.9335937
blur,0,799,2,2,0.98533195
blur,0,800,7,7,0.9999901
blur,0,801,1,1,0.9994993
blur,0,802,4,4,0.9992817
blur,0,803,7,7,0.9998642
blur,0,804,4,4,0.9999933
blur,0,805,4,4,0.9781039
blur,0,806,8,8,0.9989064
blur,0,807,4,4,0.9999776
blur,0,808,7,7,0.99998915
blur,0,809,7,7,1.0
blur,0,810,5,2,0.9888891
blur,0,811,3,5,0.98199123
blur,0,812,7,7,0.99996233
blur,0,813,2,2,0.99993813
blur,0,814,0,0,0.9986016
blur,0,815,8,8,0.99999857
blur,0,816,9,9,0.9999789
blur,0,817,5,5,0.9997347
blur,0,818,8,8,0.6372742
blur,0,819,3,3,0.98644245
blur,0,820,6,6,0.9997284
blur,0,821,2,2,1.0
blur,0,822,0,0,0.9958222
blur,0,823,8,8,0.99999785
blur,0,824,7,7,0.9999994
blur,0,825,3,3,0.99998844
blur,0,826,7,7,0.99988866
blur,0,827,6,6,0.99997365
blur,0,828,5,4,0.8471906
